session,product
75710ad4bf1e98e4/3,1235
75710ad4bf1e98e4/4,2054
75710ad4bf1e98e4/4,1790
75710ad4bf1e98e4/5,3078
75710ad4bf1e98e4/5,3078
701b312c4adaf3a6/18,1116
701b312c4adaf3a6/19,1116
701b312c4adaf3a6/20,1367
701b312c4adaf3a6/20,1418
701b312c4adaf3a6/20,1116
701b312c4adaf3a6/20,1255
701b312c4adaf3a6/22,1255
701b312c4adaf3a6/23,1271
701b312c4adaf3a6/23,1320
701b312c4adaf3a6/23,1116
701b312c4adaf3a6/23,3726
701b312c4adaf3a6/30,401
701b312c4adaf3a6/33,1714
701b312c4adaf3a6/34,4414
701b312c4adaf3a6/34,1877
701b312c4adaf3a6/36,1271
701b312c4adaf3a6/36,1367
701b312c4adaf3a6/36,1186
701b312c4adaf3a6/36,1575
701b312c4adaf3a6/36,1418
701b312c4adaf3a6/36,1714
701b312c4adaf3a6/36,1116
701b312c4adaf3a6/36,2809
701b312c4adaf3a6/36,2821
701b312c4adaf3a6/36,1255
701b312c4adaf3a6/36,572
701b312c4adaf3a6/36,888
701b312c4adaf3a6/41,647
8f0d69761431db80/2,2175
8f0d69761431db80/2,1431
85a08c03d2e9c24b/9,3934
85a08c03d2e9c24b/10,31
85a08c03d2e9c24b/10,2410
721166e6509fbf10/1,847
e820fcedda94aa09/8,246
febc8d102912d6fb/6,55
e500b3b2b81ba9ee/1,170
ee78f855eb6db79c/1,3362
2ec1c516227f788b/1,217
2c1cef0edad15a7c/4,931
199af2d885fc768d/1,849
77dee245621ad8e6/5,43
77dee245621ad8e6/5,31
77dee245621ad8e6/6,419
acaff9c726eed6f3/12,10
acaff9c726eed6f3/12,29
acaff9c726eed6f3/12,520
acaff9c726eed6f3/12,2586
acaff9c726eed6f3/13,3611
acaff9c726eed6f3/13,4235
343bf8160ed03288/11,198
343bf8160ed03288/11,2153
343bf8160ed03288/12,567
343bf8160ed03288/13,1448
343bf8160ed03288/14,3694
343bf8160ed03288/14,4349
66892f84443bab3e/23,1130
ca07c11c3ed7a790/1,268
ca07c11c3ed7a790/1,948
ca07c11c3ed7a790/1,1146
58c21fc101433b08/5,967
58c21fc101433b08/5,1419
58c21fc101433b08/6,1322
58c21fc101433b08/6,2031
58c21fc101433b08/7,329
58c21fc101433b08/7,739
58c21fc101433b08/7,273
58c21fc101433b08/7,1023
58c21fc101433b08/7,243
58c21fc101433b08/7,1772
58c21fc101433b08/7,512
58c21fc101433b08/7,2087
58c21fc101433b08/7,2142
58c21fc101433b08/7,2169
58c21fc101433b08/7,38
58c21fc101433b08/7,2291
58c21fc101433b08/7,2633
58c21fc101433b08/7,2475
58c21fc101433b08/7,2150
58c21fc101433b08/7,1550
58c21fc101433b08/7,1133
58c21fc101433b08/7,1590
58c21fc101433b08/7,3627
58c21fc101433b08/8,62
58c21fc101433b08/9,972
57937221020dd0c5/2,184
57937221020dd0c5/3,757
23b6bac27edb78ae/1,269
23b6bac27edb78ae/1,585
9443287a9583cdae/1,3934
9443287a9583cdae/2,29
9443287a9583cdae/3,4037
9443287a9583cdae/3,4207
9443287a9583cdae/3,3055
9443287a9583cdae/3,3055
b4e9cd79ad4c4c1b/1,244
b4e9cd79ad4c4c1b/2,2897
b4e9cd79ad4c4c1b/3,1274
b4e9cd79ad4c4c1b/3,2268
b4e9cd79ad4c4c1b/3,4064
b4e9cd79ad4c4c1b/4,513
b4e9cd79ad4c4c1b/5,1144
b4e9cd79ad4c4c1b/6,2257
b4e9cd79ad4c4c1b/7,697
